ip,datetime,gmt,request,status,size,referer,browser,country,detected
114.122.73.198,23-Jul 2019 12:39:08,+0700],GET /bkd_baru/bidang_penunjang HTTP/1.1,200.0,25811,http://universitas.com/bkd_baru/bidang_penunjang/edit/ODM5OA,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML,Indonesia,AMAN
180.178.99.174,23-Jul 2019 11:01:05,+0700],GET /bkd_baru/assets/images/scan_penugasan/D0255__18-07-19_17.02_Sk_20182019_genap.pdf HTTP/1.1,206.0,34617,http://universitas.com/bkd_baru/bidang_pendidikan/edit/ODY5Nw,Mozilla/5.0 (Windows NT 6.1; rv:68.0) Gecko/20100101 Firefox/68.0,Indonesia,AMAN
180.178.99.174,25-Jul 2019 9:04:22,+0700],GET /bkd_baru/assets/images/scan_kinerja/D0197__17-07-19_04.06_Nilai_Lang._Assessment_6A.pdf HTTP/1.1,206.0,37967,http://universitas.com/bkd_baru/kinerja_dosen/rekap_kinerja/D0197,Mozilla/5.0 (Windows NT 6.3; rv:68.0) Gecko/20100101 Firefox/68.0,Indonesia,AMAN
180.178.99.174,23-Jul 2019 15:31:05,+0700],GET /bkd_baru/assets/images/scan_kinerja/D0121__19-07-19_05.38_RPS_KPT_ANSAL_TATI_S.U._GENAP_2019.pdf HTTP/1.1,200.0,206958,http://universitas.com/bkd_baru/bidang_pendidikan,Mozilla/5.0 (Windows NT 6.3; rv:68.0) Gecko/20100101 Firefox/68.0,Indonesia,AMAN
182.0.167.9,23-Jul 2019 14:45:32,+0700],GET /bkd_baru/assets/js/jquery.js HTTP/1.1,200.0,247351,http://universitas.com/bkd_baru/,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML,Indonesia,AMAN
180.178.99.174,25-Jul 2019 9:13:28,+0700],GET /bkd_baru/assets/images/scan_penugasan/D0059__10-07-19_09.16_SK_Rektor_WR3.pdf HTTP/1.1,200.0,612342,http://universitas.com/bkd_baru/kinerja_dosen/rekap_kinerja/D0059,Mozilla/5.0 (Windows NT 6.3; rv:68.0) Gecko/20100101 Firefox/68.0,Indonesia,AMAN
180.178.99.174,24-Jul 2019 15:15:18,+0700],GET /bkd_baru/assets/images/scan_kinerja/D0061__24-07-19_10.11_RPS_Pengemb_Instrumen_Sains.pdf HTTP/1.1,206.0,65536,http://universitas.com/bkd_baru/Bidang_pendidikan,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0,Indonesia,AMAN
180.178.99.174,23-Jul 2019 10:14:24,+0700],GET /bkd_baru/assets/css/images/pattern.jpg HTTP/1.1,200.0,7080,http://universitas.com/bkd_baru/assets/css/ace.css,Mozilla/5.0 (Windows NT 6.3; rv:64.0) Gecko/20100101 Firefox/64.0,Indonesia,AMAN
180.178.99.174,24-Jul 2019 14:30:12,+0700],GET /bkd_baru/assets/file/Pendidikan-min.pdf HTTP/1.1,200.0,174981,http://universitas.com/bkd_baru/bidang_penelitian/tambah,Mozilla/5.0 (Windows NT 6.1; rv:68.0) Gecko/20100101 Firefox/68.0,Indonesia,AMAN
64.233.173.168,23-Jul 2019 10:33:02,+0700],GET /bkd_baru/home HTTP/1.1,200.0,18804,http://universitas.com/bkd_baru/,Mozilla/5.0 (Linux; Android 8.1.0; vivo 1820) AppleWebKit/537.36 (KHTML,United States,DICURIGAI
118.97.191.179,24-Jul 2019 18:23:06,+0700],GET /bkd_baru/assets/js/ace/ace.js HTTP/1.1,304.0,-,http://universitas.com/bkd_baru/kesimpulan_dosen,Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:68.0) Gecko/20100101 Firefox/68.0,Indonesia,AMAN
140.213.20.239,24-Jul 2019 22:07:35,+0700],GET /bkd_baru/assets/images/scan_penugasan/D0217__19-07-19_18.11_sk_dan_jadwal_pondok.pdf HTTP/1.1,200.0,459727,http://universitas.com/bkd_baru/bidang_pengabdian/edit/OTQ0MA,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:68.0) Gecko/20100101 Firefox/68.0,Indonesia,AMAN
182.253.162.52,23-Jul 2019 18:36:29,+0700],GET /bkd_baru/assets/images/scan_penugasan/D0282__19-07-19_03.34_SK_Penel_2018.pdf HTTP/1.1,304.0,-,http://universitas.com/bkd_baru/kewajiban_khusus_profesor,Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML,Indonesia,AMAN
116.206.15.34,24-Jul 2019 13:04:51,+0700],GET /bkd_baru/assets/images/scan_kinerja/D0115__23-07-19_04.42_2._PROPOSAL_PENYULUHAN_KESPRO.pdf HTTP/1.1,206.0,150716,http://universitas.com/bkd_baru/bidang_pengabdian/edit/OTIyMg,Mozilla/5.0 (Windows NT 6.1; rv:54.0) Gecko/20100101 Firefox/54.0,Indonesia,AMAN
180.178.99.174,23-Jul 2019 9:45:24,+0700],GET /bkd_baru/home HTTP/1.1,200.0,18796,http://universitas.com/bkd_baru/,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML,Indonesia,AMAN
180.178.99.174,23-Jul 2019 16:12:40,+0700],GET /bkd_baru/bidang_pendidikan/edit/ODU0OQ HTTP/1.1,200.0,27877,http://universitas.com/bkd_baru/Bidang_pendidikan,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML,Indonesia,AMAN
116.206.14.21,23-Jul 2019 9:53:28,+0700],GET /bkd_baru/assets/images/scan_sertifikat/D0115_23-07-2019_IJAZAH_S2.pdf HTTP/1.1,206.0,118979,http://universitas.com/bkd_baru/dosen/input_dosen/RDAxMTU,Mozilla/5.0 (Windows NT 6.1; rv:54.0) Gecko/20100101 Firefox/54.0,Indonesia,AMAN
180.253.209.48,24-Jul 2019 10:37:41,+0700],POST /bkd_baru/bidang_pengabdian/do_tambah HTTP/1.1,303.0,-,http://universitas.com/bkd_baru/bidang_pengabdian/tambah,Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML,Indonesia,AMAN
140.213.13.245,26-Jul 2019 13:06:50,+0700],GET /bkd_baru/assets/fonts/OpenSans-400.woff HTTP/1.1,200.0,21956,http://universitas.com/bkd_baru/assets/css/ace-fonts.css,Mozilla/5.0 (Linux; Android 8.1.0; CPH1803 Build/OPM1.171019.026) AppleWebKit/537.36 (KHTML,Indonesia,AMAN
180.178.99.174,24-Jul 2019 7:13:26,+0700],GET /bkd_baru/assets/js/ace/ace.js HTTP/1.1,200.0,18153,http://universitas.com/bkd_baru/home,Mozilla/5.0 (Windows NT 6.3; rv:56.0) Gecko/20100101 Firefox/56.0,Indonesia,AMAN
180.178.99.174,24-Jul 2019 7:25:38,+0700],GET /bkd_baru/assets/images/scan_kinerja/D0266__24-07-19_02.25_Laporan_Kajul_Semester_Genap_2018_2019.pdf HTTP/1.1,304.0,-,http://universitas.com/bkd_baru/bidang_penunjang/edit/ODc4MA,Mozilla/5.0 (Windows NT 6.3; rv:56.0) Gecko/20100101 Firefox/56.0,Indonesia,AMAN
180.178.99.174,24-Jul 2019 9:39:21,+0700],GET /bkd_baru/bidang_penelitian/edit/ODk5NQ HTTP/1.1,200.0,27169,http://universitas.com/bkd_baru/bidang_penelitian,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML,Indonesia,AMAN
125.163.114.46,25-Jul 2019 8:51:35,+0700],GET /bkd_baru/assets/css/ace.css HTTP/1.1,304.0,-,http://universitas.com/bkd_baru/login,Mozilla/5.0 (Windows NT 6.1; rv:68.0) Gecko/20100101 Firefox/68.0,Indonesia,AMAN
180.178.99.174,23-Jul 2019 10:44:49,+0700],GET /bkd_baru/assets/images/scan_kinerja/D0194__23-07-19_05.44_LAPORAN_KINERJA_KAJUR.pdf HTTP/1.1,206.0,65536,http://universitas.com/bkd_baru/bidang_penunjang,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0,Indonesia,AMAN
180.178.99.174,25-Jul 2019 9:42:27,+0700],GET /bkd_baru/assets/images/scan_kinerja/D0295__19-07-19_08.40_RPS_INDONESIAN_TO_ENGLISH_TRANSLATION_2019_FEB.pdf HTTP/1.1,206.0,148250,http://universitas.com/bkd_baru/kinerja_dosen/rekap_kinerja/D0295,Mozilla/5.0 (Windows NT 6.3; rv:68.0) Gecko/20100101 Firefox/68.0,Indonesia,AMAN
120.188.32.239,23-Jul 2019 17:34:35,+0700],GET /bkd_baru/dosen/input_dosen/ HTTP/1.1,200.0,36363,http://universitas.com/bkd_baru/home,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML,Indonesia,AMAN
180.178.99.174,25-Jul 2019 9:42:31,+0700],GET /bkd_baru/assets/images/scan_kinerja/D0295__24-07-19_17.04_DHMD_TRANSLATION_SEM_6.pdf HTTP/1.1,206.0,348146,http://universitas.com/bkd_baru/kinerja_dosen/rekap_kinerja/D0295,Mozilla/5.0 (Windows NT 6.3; rv:68.0) Gecko/20100101 Firefox/68.0,Indonesia,AMAN
118.97.191.179,24-Jul 2019 18:01:17,+0700],GET /bkd_baru/assets/css/ace-fonts.css HTTP/1.1,304.0,-,http://universitas.com/bkd_baru/kesimpulan_dosen,Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:68.0) Gecko/20100101 Firefox/68.0,Indonesia,AMAN
140.213.34.67,24-Jul 2019 13:55:28,+0700],GET /bkd_baru/assets/css/style_preloader.css HTTP/1.1,200.0,1892,http://universitas.com/bkd_baru/home,Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML,Indonesia,AMAN
114.124.137.165,24-Jul 2019 0:13:35,+0700],GET /bkd_baru/assets/css/ace.css HTTP/1.1,200.0,484853,http://universitas.com/bkd_baru/home,Mozilla/5.0 (Linux; Android 7.1.1; CPH1729) AppleWebKit/537.36 (KHTML,Indonesia,AMAN
180.178.99.174,24-Jul 2019 8:26:07,+0700],GET /bkd_baru/assets/images/scan_kinerja/D0198__24-07-19_03.20_RPS_Bhs_Sastra_Indonesia.pdf HTTP/1.1,206.0,65536,http://universitas.com/bkd_baru/Bidang_pendidikan,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0,Indonesia,AMAN
180.178.99.174,24-Jul 2019 17:15:39,+0700],GET /bkd_baru/bidang_pendidikan HTTP/1.1,200.0,23614,http://universitas.com/bkd_baru/home,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML,Indonesia,AMAN
180.178.99.174,25-Jul 2019 8:57:05,+0700],GET /bkd_baru/assets/images/scan_penugasan/D0222__17-07-19_04.03_dhmdspeaking2D.pdf HTTP/1.1,200.0,767025,http://universitas.com/bkd_baru/kinerja_dosen/rekap_kinerja/D0222,Mozilla/5.0 (Windows NT 6.3; rv:68.0) Gecko/20100101 Firefox/68.0,Indonesia,AMAN
182.1.80.38,23-Jul 2019 10:35:46,+0700],GET /bkd_baru/assets/images/scan_kinerja/D0273__19-07-19_15.24_RPS.pdf HTTP/1.1,206.0,65536,http://universitas.com/bkd_baru/bidang_pendidikan/edit/OTIzMQ,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:44.0) Gecko/20100101 Firefox/44.0,Indonesia,AMAN
140.213.49.180,23-Jul 2019 20:50:34,+0700],GET /bkd_baru/assets/images/uploads/D0019_08-02-17_12.41.foto%20huriyah.jpeg HTTP/1.1,404.0,1130,http://universitas.com/bkd_baru/dosen/input_dosen/,Mozilla/5.0 (Windows NT 6.1; rv:60.0) Gecko/20100101 Firefox/60.0,Indonesia,AMAN
180.178.99.174,24-Jul 2019 10:42:45,+0700],GET /bkd_baru/assets/images/scan_penugasan/D0296__18-07-19_07.18_SK_dan_Jadwal_Mengajar_Genap_2018-2019_fix.pdf HTTP/1.1,206.0,385482,http://universitas.com/bkd_baru/bidang_pendidikan/edit/OTAyMw,Mozilla/5.0 (Windows NT 6.1; rv:61.0) Gecko/20100101 Firefox/61.0,Indonesia,AMAN
103.108.128.50,23-Jul 2019 19:01:44,+0700],POST /bkd_baru/bidang_pendidikan/do_tambah HTTP/1.1,303.0,-,http://universitas.com/bkd_baru/bidang_pendidikan/edit/ODQwNQ,Mozilla/5.0 (Windows NT 6.1; rv:61.0) Gecko/20100101 Firefox/61.0,Indonesia,AMAN
180.178.99.174,25-Jul 2019 8:01:30,+0700],GET /bkd_baru/assets/images/scan_penugasan/D0295__19-07-19_07.21_SK_MENGAJAR_SEMESTER_GENAP_FEBRUARI_2019.pdf HTTP/1.1,206.0,1066367,http://universitas.com/bkd_baru//kinerja_dosen/beri_nilai/9203/D0295,Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:67.0) Gecko/20100101 Firefox/67.0,Indonesia,AMAN
180.178.99.174,25-Jul 2019 8:59:13,+0700],GET /bkd_baru/assets/images/scan_kinerja/D0222__10-07-19_10.10_Model_of_Local_Wisdom_Literacy_Based_Teaching_2017_-_Copy_-_Copy1.pdf HTTP/1.1,206.0,35672,http://universitas.com/bkd_baru/kinerja_dosen/rekap_kinerja/D0222,Mozilla/5.0 (Windows NT 6.3; rv:68.0) Gecko/20100101 Firefox/68.0,Indonesia,AMAN
114.122.72.199,23-Jul 2019 10:09:52,+0700],GET /bkd_baru/bidang_penelitian/tambah HTTP/1.1,200.0,26373,http://universitas.com/bkd_baru/bidang_penelitian,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML,Indonesia,AMAN
180.178.99.174,24-Jul 2019 18:40:33,+0700],GET /bkd_baru/bidang_pendidikan/edit/ODc4Mg HTTP/1.1,200.0,28611,http://universitas.com/bkd_baru/Bidang_pendidikan,Mozilla/5.0 (Windows NT 6.3) AppleWebKit/537.36 (KHTML,Indonesia,AMAN
180.178.99.174,24-Jul 2019 8:38:00,+0700],GET /bkd_baru/assets/css/images/pattern.jpg HTTP/1.1,200.0,7080,http://universitas.com/bkd_baru/assets/css/ace.css,Mozilla/5.0 (Windows NT 6.1; rv:68.0) Gecko/20100101 Firefox/68.0,Indonesia,AMAN
180.178.99.174,23-Jul 2019 10:08:34,+0700],GET /bkd_baru/assets/images/scan_kinerja/D0014__15-07-19_03.21_DHD_DHM_NILAI2A.pdf HTTP/1.1,304.0,-,http://universitas.com/bkd_baru/kinerja_dosen/rekap_kinerja/D0014,Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML,Indonesia,AMAN
180.178.99.174,24-Jul 2019 17:33:52,+0700],GET /bkd_baru/bidang_pendidikan/edit/OTMyMA HTTP/1.1,200.0,28697,http://universitas.com/bkd_baru/Bidang_pendidikan,Mozilla/5.0 (Windows NT 10.0; rv:69.0) Gecko/20100101 Firefox/69.0,Indonesia,AMAN
180.178.99.174,23-Jul 2019 11:24:53,+0700],GET /bkd_baru/bidang_pengabdian/tambah HTTP/1.1,200.0,26368,http://universitas.com/bkd_baru/bidang_pengabdian,Mozilla/5.0 (Windows NT 6.1; rv:50.0) Gecko/20100101 Firefox/50.0,Indonesia,AMAN
182.0.229.109,24-Jul 2019 4:07:28,+0700],GET /bkd_baru/assets/images/scan_sertifikat/D0241_18-07-2019_IJASAH_UNPAD.pdf HTTP/1.1,206.0,390363,http://universitas.com/bkd_baru/dosen/input_dosen/,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:68.0) Gecko/20100101 Firefox/68.0,Indonesia,AMAN
107.167.109.166,25-Jul 2019 0:07:44,+0700],GET /bkd_baru/assets/file/Pendidikan-min.pdf HTTP/1.1,200.0,174981,http://universitas.com/bkd_baru/bidang_pendidikan/tambah,Mozilla/5.0 (Linux; Android 5.1; CPH1605 Build/LMY47I) AppleWebKit/537.36 (KHTML,United States,DICURIGAI
103.103.146.58,25-Jul 2019 21:14:09,+0700],GET /bkd_baru/assets/images/scan_penugasan/D0074__24-07-19_16.00_JADWAL_IMAM_KHOTIB_NURUL_HUDA001.pdf HTTP/1.1,206.0,79837,http://universitas.com/bkd_baru/kinerja_dosen/rekap_kinerja/D0074,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:66.0) Gecko/20100101 Firefox/66.0,Indonesia,AMAN
180.178.99.174,23-Jul 2019 13:03:28,+0700],GET /bkd_baru/assets/images/scan_kinerja/D0187__19-07-19_15.40_Laporan_Kinerja_Kepala_PPkM.pdf HTTP/1.1,200.0,84734,http://universitas.com/bkd_baru/dosen_cetak_rekap,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:68.0) Gecko/20100101 Firefox/68.0,Indonesia,AMAN
114.124.215.239,25-Jul 2019 2:24:57,+0700],GET /bkd_baru/Bidang_pendidikan HTTP/1.1,200.0,30843,http://universitas.com/bkd_baru/bidang_pendidikan/tambah,Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML,Indonesia,AMAN
8.37.233.207,23-Jul 2019 14:32:09,+0700],GET /bkd_baru/assets/js/ace/elements.fileinput.js HTTP/1.1,304.0,-,http://universitas.com/bkd_baru/bidang_penelitian,Mozilla/5.0 (Linux; U; Android 9; en-US; Redmi Note 7 Build/PKQ1.180904.001) AppleWebKit/537.36 (KHTML,United States,DICURIGAI
36.71.249.200,27-Jul 2019 5:51:33,+0700],GET /bkd_baru/assets/avatars/icon-user.png HTTP/1.1,200.0,1483,http://universitas.com/bkd_baru/home,Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:68.0) Gecko/20100101 Firefox/68.0,Indonesia,AMAN
114.124.244.248,27-Jul 2019 7:46:40,+0700],GET /bkd_baru/assets/images/scan_kinerja/D0058__19-07-19_10.59_Nilai_MBS.pdf HTTP/1.1,200.0,452491,http://universitas.com/bkd_baru/kinerja_dosen/rekap_kinerja/D0058,Mozilla/5.0 (Linux; Android 7.1.1; SAMSUNG SM-J250F Build/NMF26X) AppleWebKit/537.36 (KHTML,Indonesia,AMAN
36.79.254.165,26-Jul 2019 21:03:14,+0700],GET /bkd_baru/assets/css/ace.css HTTP/1.1,304.0,-,http://universitas.com/bkd_baru/,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML,Indonesia,AMAN
180.178.99.174,23-Jul 2019 16:23:23,+0700],POST /bkd_baru/Atur_kelompok/do_tambah HTTP/1.1,303.0,-,http://universitas.com/bkd_baru/Atur_kelompok,Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML,Indonesia,AMAN
180.178.99.174,25-Jul 2019 7:31:26,+0700],GET /bkd_baru/assets/images/scan_penugasan/D0297__18-07-19_04.59_SK_mengajar.pdf HTTP/1.1,206.0,78571,http://universitas.com/bkd_baru//kinerja_dosen/beri_nilai/8981/D0297,Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:67.0) Gecko/20100101 Firefox/67.0,Indonesia,AMAN
64.233.173.166,25-Jul 2019 17:32:38,+0700],GET /bkd_baru/login HTTP/1.1,200.0,5198,-,Mozilla/5.0 (Linux; Android 8.1.0; CPH1803) AppleWebKit/537.36 (KHTML,United States,DICURIGAI
180.178.99.174,23-Jul 2019 14:26:49,+0700],GET /bkd_baru/assets/css/style_preloader.css HTTP/1.1,200.0,1892,http://universitas.com/bkd_baru/bidang_pendidikan,Mozilla/5.0 (Windows NT 6.1; rv:68.0) Gecko/20100101 Firefox/68.0,Indonesia,AMAN
116.206.15.19,27-Jul 2019 6:36:43,+0700],GET /bkd_baru/assets/css/images/pattern.jpg HTTP/1.1,200.0,7080,http://universitas.com/bkd_baru/assets/css/ace.css,Mozilla/5.0 (Linux; Android 5.1; vivo Y21 Build/LMY47I) AppleWebKit/537.36 (KHTML,Indonesia,AMAN
180.178.99.174,24-Jul 2019 9:47:12,+0700],GET /bkd_baru/assets/images/scan_kinerja/D0236__15-07-19_04.28_RPS_STUDI_HADIS.pdf HTTP/1.1,304.0,-,http://universitas.com/bkd_baru/bidang_pendidikan,Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML,Indonesia,AMAN
77.111.246.122,24-Jul 2019 8:08:43,+0700],GET /bkd_baru/assets/fonts/OpenSans-400.woff HTTP/1.1,200.0,21956,http://universitas.com/bkd_baru/assets/css/ace-fonts.css,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML,United States,DICURIGAI
114.122.75.150,24-Jul 2019 9:56:25,+0700],GET /bkd_baru/assets/file/Pendidikan-min.pdf HTTP/1.1,206.0,174981,http://universitas.com/bkd_baru/assets/file/Pendidikan-min.pdf,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML,Indonesia,AMAN
180.178.99.174,25-Jul 2019 8:54:59,+0700],GET /bkd_baru/assets/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1,200.0,65452,http://universitas.com/bkd_baru/assets/css/font-awesome.css,Mozilla/5.0 (Windows NT 6.3; rv:68.0) Gecko/20100101 Firefox/68.0,Indonesia,AMAN
118.97.191.179,24-Jul 2019 21:03:10,+0700],GET /bkd_baru/assets/images/scan_kinerja/D0074__24-07-19_09.51_2._DH_D__M_KAPITA_SELEKTA.pdf HTTP/1.1,200.0,211956,http://universitas.com/bkd_baru/bidang_pendidikan/edit/OTU5NA,Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:68.0) Gecko/20100101 Firefox/68.0,Indonesia,AMAN
